ip,hostname,network,mac,upstream,port,agg_count
172.16.1.40,echo-basement,IoT,18:74:2e:22:21:be,,,
172.16.1.41,echo-kitchen,IoT,34:d2:70:b7:7f:12,,,
172.16.1.42,echo-bedroom,IoT,74:ec:b2:79:9e:41,,,
172.16.1.43,echo-family,IoT,50:f5:da:d4:00:e1,,,
172.16.1.50,airthings-hub,IoT,d0:14:11:90:42:e1,leaf,17,
172.16.1.51,airthings-office,IoT,6c:79:b8:ef:b5:4e,,,
172.16.1.60,flic-office,IoT,7e:a7:b0:31:9f:b0,,,
172.16.1.61,flic-bedroom,IoT,76:ee:2a:9c:72:0e,,,
172.16.1.70,owlet,IoT,d0:17:69:f5:27:a0,,,
172.16.1.71,hatch,IoT,24:6f:28:00:d6:58,,,
172.16.1.80,roomba-rover,IoT,50:14:79:4f:ed:1d,,,
172.16.1.81,roomba-spot,IoT,50:14:79:55:73:f5,,,
172.16.1.90,chromecast-bedroom,IoT,54:60:09:11:fb:e2,,,
172.16.20.10,ps5,Gaming,00:e4:21:9e:1a:8f,switch-theatre,15,
172.16.20.11,hyrum,Gaming,7c:10:c9:3c:03:88,switch-theatre,16,
192.168.1.10,lift,Standard,26:b7:f8:a0:25:10,,,
192.168.1.100,kelly-switch-wired,Standard,00:0e:c6:62:e8:16,switch-family,5,
192.168.1.101,kelly-imac,Standard,3c:a6:f6:7b:45:c6,,,
192.168.1.102,kelly-iphone,Standard,9a:c4:78:70:02:2e,,,
192.168.1.104,kelly-watch,Standard,92:d2:35:40:60:76,,,
192.168.1.11,szeth,Standard,02:df:8f:87:dd:f8,,,
192.168.1.12,wilson,Standard,f0:2f:4b:08:a6:77,,,
192.168.1.13,wilson-wired,Standard,5c:85:7e:35:5b:b4,switch-office,3,
192.168.1.14,laker-mac,Standard,bc:d0:74:32:53:b1,,,
192.168.1.15,laker-mac-wired,Standard,5c:85:7e:35:5b:d2,switch-office,2,
192.168.1.16,philote,Standard,1c:69:7a:aa:a7:74,switch-office,5,
192.168.1.18,bean,Standard,78:4f:43:84:02:b9,,,
192.168.1.19,wrist,Standard,82:3a:71:13:bc:e7,,,
192.168.1.2,printer,Standard,38:22:e2:90:2e:64,leaf,7,
192.168.1.21,switch,Standard,20:0b:cf:9b:12:bd,,,
192.168.1.3,usb-kvm,Standard,b8:27:eb:a1:38:10,,,
